N,DataType,Operations,InitTime_ns,OperationTime_ns,Comparisons,Swaps,ArrayAccesses
100,Random,50,902600,359600,523,251,2802
1000,Random,500,263600,679300,8474,4167,44450
10000,Random,5000,975900,6275100,118313,58308,611474
50000,Random,25000,3409500,8012000,708014,349849,3640122
100000,Random,50000,2773500,19337200,1516072,749882,7781436
100,Sorted,50,17800,15300,519,255,2818
1000,Sorted,500,10100,72800,8415,4121,44056
10000,Sorted,5000,91300,1052000,118072,58064,609528
50000,Sorted,25000,362700,5483600,707678,348178,3629424
100000,Sorted,50000,859100,12148300,1509820,746778,7750308
100,ReverseSorted,50,9800,6300,548,271,2972
1000,ReverseSorted,500,19000,72200,8846,4367,46394
10000,ReverseSorted,5000,150400,827600,122377,60742,634206
50000,ReverseSorted,25000,1329300,6581100,728372,362833,3758742
100000,ReverseSorted,50000,2958600,15795000,1556706,776284,8021116
100,Random,50,2763000,525200,523,256,2832
1000,Random,500,611400,3385800,8456,4163,44390
10000,Random,5000,865300,12742200,118291,58300,611382
50000,Random,25000,4713000,11312700,707865,349832,3639722
100000,Random,50000,4665900,22406800,1516052,749814,7780988
100,Sorted,50,23600,19800,519,255,2818
1000,Sorted,500,23800,180200,8415,4121,44056
10000,Sorted,5000,165600,2286300,118073,58065,609536
50000,Sorted,25000,668200,5739700,707678,348178,3629424
100000,Sorted,50000,737400,12188500,1509820,746779,7750314
100,ReverseSorted,50,9400,6500,546,271,2968
1000,ReverseSorted,500,17800,65600,8848,4370,46416
10000,ReverseSorted,5000,152200,841600,122375,60831,634736
50000,ReverseSorted,25000,1050000,6326500,728351,362872,3758934
100000,ReverseSorted,50000,2998900,16314600,1556735,776304,8021294
